cris_id,title,publication_type,doi,doi_link,resolved_doi_link
12236895,Language Theories in IS Research – A Review,Forschungsartikel (Buchbeitrag),10.1007/978-3-7908-2336-3_5,https://doi.org/10.1007/978-3-7908-2336-3_5,https://link.springer.com/chapter/10.1007/978-3-7908-2336-3_5
4496445,Evaluating the Expressiveness of Domain Specific Modeling Languages using the Bunge-Wand-Weber Ontology,Forschungsartikel in Sammelband (Konferenz),10.1109/HICSS.2010.190,https://doi.org/10.1109/HICSS.2010.190,https://ieeexplore.ieee.org/document/5428539/
4493294,Explaining the Behavioral Intention Towards BI Implementation in Public Administrations: A Principal-agent Theory Approach,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-642-03516-6_34,https://doi.org/10.1007/978-3-642-03516-6_34,https://link.springer.com/chapter/10.1007/978-3-642-03516-6_34
4505399,Evaluation of ICT Investments in Public Administrations based on Business Process Models,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-540-85204-9_11,https://doi.org/10.1007/978-3-540-85204-9_11,https://link.springer.com/chapter/10.1007/978-3-540-85204-9_11
4510514,Inclusive Electronic Public Service Delivery – A Quantitative Analysis,Forschungsartikel (Zeitschrift),10.1080/10196780802420687,https://doi.org/10.1080/10196780802420687,https://www.tandfonline.com/doi/full/10.1080/10196780802420687
4503760,TCO-as-a-Service - Servicebasierte Lebenszyklusrechnung für hybride Leistungsbündel,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-11859-3_10,https://doi.org/10.1007/978-3-642-11859-3_10,https://link.springer.com/chapter/10.1007/978-3-642-11859-3_10
12237056,E-Services im Handel – Auffindung und Dokumentation von Potenzialen zur Digitalisierung von Dienstleistungen für Hersteller und Kunden,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-11859-3_11,https://doi.org/10.1007/978-3-642-11859-3_11,https://link.springer.com/chapter/10.1007/978-3-642-11859-3_11
4510793,Enabling Individualized Recommendations and Dynamic Pricing of Value-Added Services through Willingness-to-Pay Data,Forschungsartikel (Zeitschrift),10.1007/s12525-010-0032-0,https://doi.org/10.1007/s12525-010-0032-0,https://link.springer.com/article/10.1007/s12525-010-0032-0
4525617,Configurative Service Engineering – A Rule-Based Configuration Approach for Versatile Service Processes in Corrective Maintenance,Forschungsartikel in Sammelband (Konferenz),10.1109/HICSS.2009.127,https://doi.org/10.1109/HICSS.2009.127,https://ieeexplore.ieee.org/document/4755474/
4510934,Ordnungsrahmen für die hybride Wertschöpfung,Forschungsartikel (Buchbeitrag),10.1007/978-3-7908-2099-7,https://doi.org/10.1007/978-3-7908-2099-7,https://link.springer.com/book/10.1007/978-3-7908-2099-7
